City	MonthofDate	Shape	CountofShape
Lamesa	May 2018	Egg	1
Dickinson	May 2018	Light	1
San Antonio	May 2018	Formation	1
Portland	April 2018	Sphere	1
Austin	April 2018	*	2
Houston	April 2018	Light	1
Aledo	March 2018	Light	1
Cedar Park	March 2018	Sphere	1
Georgetown	March 2018	Changing	1
Midland	March 2018	Cross	1
Spring	March 2018	Unknown	1
Fort Worth	March 2018	Sphere	1
San Antonio	March 2018	Sphere	1
Houston	March 2018	Disk	1
Anthony	February 2018	Changing	1
Fort Worth	February 2018	Circle	1
San Antonio	February 2018	Oval	1
Shamrock	January 2018	Sphere	1
Rocksprings	January 2018	Unknown	1
Brookshire	January 2018	Light	1
Uhland	January 2018	Light	1
Burnet	January 2018	Teardrop	1
Dayton	January 2018	Light	1
San Angelo	January 2018	Other	1
Fort Worth	January 2018	Rectangle	1
Sour Lake	December 2017	Light	1
Lumberton	December 2017	Light	2
Sulphur Springs	December 2017	Formation	1
New Braunfels	December 2017	Formation	1
McKinney	December 2017	Light	1
Garland	December 2017	Oval	1
Amarillo	December 2017	Triangle	1
Dallas	December 2017	Sphere	1
San Antonio	December 2017	*	3
Houston	December 2017	Triangle	1
Burton	November 2017	Light	1
Pflugerville	November 2017	Chevron	1
Irving	November 2017	Light	1
San Antonio	November 2017	Cigar	1
Houston	November 2017	Flash	1
Lexington	October 2017	Rectangle	1
Rowlett	October 2017	Egg	1
Huntsville	October 2017	Circle	1
Sherman	October 2017	Disk	1
Longview	October 2017	Triangle	1
El Paso	October 2017	Other	1
Austin	October 2017	Disk	1
Houston	October 2017	*	3
Richmond	September 2017	Triangle	1
Azle	September 2017	Other	1
Cedar Park	September 2017	Formation	1
Austin	September 2017	Light	1
Houston	September 2017	Sphere	1
Cedar Park	August 2017	Light	1
Georgetown	August 2017	Flash	1
Austin	August 2017	*	2
Grand Saline	July 2017	Oval	1
Pilot Point	July 2017	Rectangle	1
Pleasanton	July 2017	Flash	1
Keller	July 2017	Formation	1
Nacogdoches	July 2017	Sphere	1
McKinney	July 2017	Sphere	1
Denton	July 2017	Triangle	1
San Antonio	July 2017	Other	1
Cushing	June 2017	Diamond	1
Aledo	June 2017	Flash	1
Lakeway	June 2017	Sphere	1
Ballinger	June 2017	Circle	1
Leander	June 2017	Sphere	1
Houston	June 2017	Triangle	1
Floresville	May 2017	Fireball	1
Wylie	May 2017	Light	1
Friendswood	May 2017	Unknown	1
Waxahachie	May 2017	Chevron	1
Cedar Park	May 2017	Triangle	1
Bryan	May 2017	Sphere	1
Cypress	May 2017	Light	2
Spring	May 2017	Circle	1
Abilene	May 2017	Light	1
Lubbock	May 2017	Light	1
Katy	May 2017	Cylinder	1
Fort Worth	May 2017	Sphere	1
San Antonio	May 2017	*	2
Austin	May 2017	Disk	1
Houston	May 2017	Other	1
Gordon	April 2017	Circle	1
Galena Park	April 2017	Light	1
Chappell Hill	April 2017	Light	1
Del Valle	April 2017	Circle	1
Dickinson	April 2017	Light	1
Sugar Land	April 2017	Sphere	1
Frisco	April 2017	Triangle	1
Georgetown	April 2017	Circle	1
Spring	April 2017	Circle	1
Dallas	April 2017	Triangle	1
Austin	April 2017	*	2
Lockhart	March 2017	Other	1
Ingram	March 2017	Flash	1
Grandview	March 2017	Light	1
Cherry Springs Community	March 2017	Rectangle	1
Lake Conroe	March 2017	Light	1
Granbury	March 2017	Triangle	1
