City	Shape	CountofShape
Zephyr	Other	1
Young City	Disk	1
Wylie	Unknown	1
Wylie	Triangle	3
Wylie	Light	1
Wylie	Fireball	2
Wylie	Cigar	1
Woodway	Cigar	1
Woodville	Triangle	1
Woodville	Sphere	2
Woodville	Fireball	1
Woodville	Circle	1
Woodlands	Oval	1
Woodlands	Light	1
Woodlands	Fireball	1
Wolfforth	Light	2
Wolfforth	Fireball	1
Wolfforth	Disk	1
Wolfe City	Sphere	1
Wizard Wells	Other	1
Witchita Falls	Fireball	1
Winters	Oval	1
Winters	Other	1
Winters	Egg	1
Winnsboro	Other	1
Winnsboro	Egg	1
Winnie	Triangle	1
Winnie	Fireball	2
Winnie	Changing	1
Winfield	Circle	1
Wimberley	Unknown	2
Wimberley	Triangle	2
Wimberley	Oval	1
Wimberley	Light	2
Wilmer	Light	1
Wilmer	Circle	1
Wilmer	Cigar	1
Wills Point	Unknown	1
Wills Point	Cigar	1
Willis	Unknown	1
Wichita Falls	Unknown	1
Wichita Falls	Triangle	1
Wichita Falls	Sphere	2
Wichita Falls	Rectangle	1
Wichita Falls	Oval	1
Wichita Falls	Other	3
Wichita Falls	Light	8
Wichita Falls	Flash	1
Wichita Falls	Fireball	1
Wichita Falls	Disk	1
Wichita Falls	Diamond	2
Wichita Falls	Cylinder	1
Wichita Falls	Cigar	1
Wichita Falls	Chevron	1
Wichita Falls	Changing	3
Wichita County	Diamond	1
Whitney	Unknown	1
Whitney	Triangle	1
Whitney	Formation	3
Whitney	Changing	1
Whitewright	Light	1
Whitewright	Egg	1
Whitesboro	Light	1
Whitehouse	Triangle	1
Whitehouse	Disk	1
Wheeler	Light	1
Wheatland	Sphere	1
Wharton	Light	1
Western Sky from Pflugerville	Oval	1
West Texas	Unknown	1
West Tawakoni	Unknown	1
West Point	Light	1
West Houston	Formation	1
West Columbia	Fireball	1
West	Light	1
Weslaco	Light	3
Weslaco	Formation	1
Weslaco	Cone	1
Wells	Light	1
Wellington	Light	1
Weimar	Oval	1
Webster	Triangle	1
Webster	Other	1
Webster	Light	3
Webster	Cross	1
Webster	Circle	1
Webster	Changing	1
Weatherford	Unknown	2
Weatherford	Sphere	1
Weatherford	Light	1
Weatherford	Formation	2
Weatherford	Flash	1
Weatherford	Changing	1
Waxahachie	Triangle	2
Waxahachie	Teardrop	1
Waxahachie	Sphere	1
Waxahachie	Other	1
Waxahachie	Light	1
Waxahachie	Disk	1
Waxahachie	Cylinder	1
Waxahachie	Circle	2
Waxahachie	Chevron	1
Waxahachie	Changing	2
Watauga	Unknown	1
Watauga	Sphere	1
Watauga	Oval	1
Watauga	Light	3
Watauga	Circle	1
Watauga	Cigar	1
Warren	Other	1
Walnut Springs	Light	2
Walker County	Circle	1
Walburg	Cigar	1
Waco	Triangle	3
Waco	Sphere	1
Waco	Rectangle	2
Waco	Oval	1
Waco	Other	3
Waco	Light	8
Waco	Fireball	1
Waco	Egg	1
Waco	Cylinder	1
Waco	Circle	1
